HyperGCN_0.001_0.0_1,47.853 ± 0.672,48.705 ± 1.045,46, 9.96s, 1.62s,0.0min9.96s
STANDARD_GCN_0.001_0_0,90.832 ± 1.989,91.009 ± 1.767,1602, 6.00s, 0.39s,0.0min6.00s
HyperGCN_0.001_0.0_1,48.794 ± 0.637,47.952 ± 0.820,46, 0.42s, 0.03s,0.0min0.42s
STANDARD_GCN_0.001_0_0,90.758 ± 0.981,90.655 ± 1.319,1602, 5.95s, 0.73s,0.0min5.95s
HyperGCN_0.001_0.0_1,47.745 ± 1.132,48.424 ± 1.202,46, 0.44s, 0.03s,0.0min0.44s
STANDARD_GCN_0.001_0_0,90.995 ± 1.738,91.320 ± 1.327,1602, 5.75s, 0.49s,0.0min5.75s
STANDARD_GCN_0.001_0_0,91.187 ± 1.615,91.502 ± 2.002,1602, 7.85s, 2.90s,0.0min7.85s
STANDARD_GCN_0.001_0_0,90.739 ± 1.874,90.517 ± 1.889,1602, 4.18s, 1.42s,0.0min4.18s
HyperGCN_0.01_1e-05_1,48.346 ± 0.842,47.770 ± 1.160,46, 3.99s, 0.44s,0.0min3.99s
HyperGCN_0.01_1e-05_1,96.627 ± 1.088,96.342 ± 1.229,46, 3.90s, 0.31s,0.0min3.90s
HyperGCN_0.01_1e-05_1,83.885 ± 21.567,83.580 ± 21.440,46, 4.29s, 0.54s,0.0min4.29s
HyperGCN_0.01_1e-05_1,92.058 ± 15.120,91.728 ± 15.356,46, 3.74s, 0.22s,0.0min3.74s
HyperGCN_0.01_1e-05_1,91.310 ± 15.687,91.285 ± 15.383,46, 4.36s, 0.33s,0.0min4.36s
HyperGCN_0.01_1e-05_1,47.903 ± 0.710,48.331 ± 1.104,46, 3.80s, 0.30s,0.0min3.80s
HyperGCN_0.01_1e-05_1,96.401 ± 1.207,96.081 ± 1.124,46, 3.65s, 0.13s,0.0min3.65s
HyperGCN_0.01_1e-05_1,92.186 ± 15.628,92.014 ± 15.280,46, 3.97s, 0.69s,0.0min3.97s
HyperGCN_0.01_1e-05_1,95.411 ± 5.016,95.175 ± 5.331,46, 4.06s, 0.55s,0.0min4.06s
HyperGCN_0.01_1e-05_1,96.228 ± 1.403,96.376 ± 1.739,46, 3.67s, 0.18s,0.0min3.67s
HyperGCN_0.01_1e-05_1,47.450 ± 1.150,48.572 ± 0.732,46, 4.11s, 0.29s,0.0min4.11s
