HyperGCN_0.001_0.0_1,64.312 ± 1.192,64.662 ± 1.751,22224, 12.02s, 0.60s,0.0min12.02s
STANDARD_GCN_0.001_0_0,33.961 ± 1.646,32.886 ± 2.337,237511, 5.47s, 0.75s,0.0min5.47s
HyperGCN_0.001_0.0_1,31.401 ± 4.596,32.222 ± 4.450,22224, 1.43s, 0.16s,0.0min1.43s
HyperGCN_0.001_0.0_1,64.372 ± nan,67.150 ± nan,22224, 14.02s, 0.00s,0.0min14.02s
STANDARD_GCN_0.001_0_0,32.911 ± 1.223,33.261 ± 1.579,237511, 3.69s, 0.96s,0.0min3.69s
STANDARD_GCN_0.001_0_0,34.638 ± 2.078,33.152 ± 1.614,237511, 3.64s, 1.08s,0.0min3.64s
STANDARD_GCN_0.001_0_0,33.213 ± 1.253,33.140 ± 1.145,237511, 4.10s, 1.27s,0.0min4.10s
HyperGCN_0.01_1e-05_1,67.053 ± 1.421,66.655 ± 1.128,22224, 13.03s, 2.14s,0.0min13.03s
STANDARD_GCN_0.001_1e-06_0,33.333 ± 1.576,32.742 ± 1.643,237511, 20.46s, 1.73s,0.0min20.46s
STANDARD_GCN_0.02_0.005_0,35.045 ± nan,38.191 ± nan,237511, 3.76s, 0.00s,0.0min3.76s
