STANDARD_GCN_0.001_0_0,69.161 ± 17.832,67.833 ± 18.187,6659, 2.45s, 0.19s,0.0min2.45s
STANDARD_GCN_0.001_0_0,79.317 ± 15.163,80.279 ± 14.571,6659, 3.15s, 1.07s,0.0min3.15s
HyperGCN_0.001_0.0_1,54.969 ± 15.495,53.901 ± 15.576,202, 0.84s, 0.13s,0.0min0.84s
HyperGCN_0.01_0.0_1,68.975 ± 25.948,68.793 ± 25.678,202, 0.79s, 0.02s,0.0min0.79s
HyperGCN_0.01_0.0_1,73.012 ± 25.778,72.817 ± 25.971,202, 0.82s, 0.07s,0.0min0.82s
HyperGCN_0.01_0.0_1,67.422 ± 26.357,67.926 ± 25.687,202, 0.80s, 0.03s,0.0min0.80s
STANDARD_GCN_0.001_0_0,73.602 ± 21.346,73.963 ± 18.225,6659, 2.47s, 0.13s,0.0min2.47s
STANDARD_GCN_0.001_0_0,89.969 ± 9.117,89.319 ± 7.869,6594, 2.87s, 0.52s,0.0min2.87s
STANDARD_GCN_0.001_0_0,91.460 ± 4.699,91.950 ± 4.337,6594, 3.24s, 0.57s,0.0min3.24s
STANDARD_GCN_0.001_0_0,86.429 ± 12.964,86.966 ± 12.238,6594, 2.68s, 0.31s,0.0min2.68s
HyperGCN_0.01_1e-05_1,88.043 ± 21.083,88.173 ± 21.724,202, 0.90s, 0.14s,0.0min0.90s
HyperGCN_0.01_1e-05_1,48.820 ± 1.205,48.421 ± 2.901,202, 0.82s, 0.06s,0.0min0.82s
HyperGCN_0.01_1e-05_1,87.547 ± 20.990,87.864 ± 21.623,202, 0.89s, 0.07s,0.0min0.89s
HyperGCN_0.01_1e-05_1,82.888 ± 23.967,82.012 ± 24.329,202, 0.84s, 0.08s,0.0min0.84s
HyperGCN_0.01_1e-05_1,48.509 ± 3.395,49.009 ± 2.792,202, 0.79s, 0.01s,0.0min0.79s
HyperGCN_0.01_1e-05_1,93.758 ± 16.907,94.211 ± 15.920,202, 0.85s, 0.07s,0.0min0.85s
HyperGCN_0.01_1e-05_1,48.354 ± 2.704,47.926 ± 2.929,202, 0.83s, 0.09s,0.0min0.83s
HyperGCN_0.01_1e-05_1,92.143 ± 14.604,90.991 ± 16.839,202, 0.83s, 0.05s,0.0min0.83s
HyperGCN_0.01_1e-05_1,87.826 ± 21.063,87.461 ± 21.778,202, 0.86s, 0.11s,0.0min0.86s
HyperGCN_0.01_1e-05_1,83.075 ± 24.307,82.755 ± 23.352,202, 0.80s, 0.03s,0.0min0.80s
HyperGCN_0.01_1e-05_1,84.410 ± 22.111,83.065 ± 23.212,202, 0.90s, 0.18s,0.0min0.90s
HyperGCN_0.01_1e-05_1,83.230 ± 24.125,82.632 ± 24.472,202, 1.67s, 0.14s,0.0min1.67s
HyperGCN_0.01_1e-05_1,77.081 ± 24.648,77.121 ± 24.585,202, 0.08s, 0.01s,0.0min0.08s
HyperGCN_0.01_1e-05_1,84.037 ± 23.320,82.167 ± 24.975,202, 1.12s, 0.28s,0.0min1.12s
STANDARD_GCN_0.001_0_0,93.696 ± 2.770,92.043 ± 2.952,6594, 2.99s, 0.58s,0.0min2.99s
HyperGCN_0.01_1e-05_1,88.758 ± 21.038,87.926 ± 22.071,202, 1.13s, 0.38s,0.0min1.13s
